INFO:root:2016-02-11 09:22:30.324252 | Init control...
INFO:root:2016-02-11 09:22:30.329739 | Checking for exit code...0

INFO:root:2016-02-11 09:22:30.331684 | Staring next cycle...
INFO:root:2016-02-11 09:22:30.793037 | Getting terrarium data...
INFO:root:2016-02-11 09:22:30.989464 | Accessing heater...
INFO:root:2016-02-11 09:22:31.040517 | Terrarium: 19 C
INFO:root:2016-02-11 09:22:31.042617 | Ziel-Temperatur: 26 C
INFO:root:2016-02-11 09:22:31.044988 | Action is 'heating'
INFO:root:2016-02-11 09:22:31.138200 | Idling for 10 minutes
INFO:root:2016-02-11 12:12:41.107413 | Initialized bus with chip address 20 and data address 14
INFO:root:2016-02-11 12:12:41.110969 | Checking current bus state...
INFO:root:2016-02-11 12:12:41.113830 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.115926 | Setting state for value address 2 and state 0
INFO:root:2016-02-11 12:12:41.118399 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.120546 | Currently on bus = ['0', '0', '0', '0', '0', '0', '0', '0']
INFO:root:2016-02-11 12:12:41.122824 | Value address    = ['0', '0', '0', '0', '0', '0', '1', '0']
INFO:root:2016-02-11 12:12:41.131007 | New bus binary 00000000
INFO:root:2016-02-11 12:12:41.133014 | New bus int 0
INFO:root:2016-02-11 12:12:41.135546 | Now working with 20 14 0
INFO:root:2016-02-11 12:12:41.140900 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.232595 | Initialized bus with chip address 20 and data address 14
INFO:root:2016-02-11 12:12:41.235032 | Checking current bus state...
INFO:root:2016-02-11 12:12:41.237537 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.239535 | Setting state for value address 2 and state 0
INFO:root:2016-02-11 12:12:41.241970 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.244257 | Currently on bus = ['0', '0', '0', '0', '0', '0', '0', '0']
INFO:root:2016-02-11 12:12:41.246441 | Value address    = ['0', '0', '0', '0', '0', '0', '1', '0']
INFO:root:2016-02-11 12:12:41.255509 | New bus binary 00000000
INFO:root:2016-02-11 12:12:41.257670 | New bus int 0
INFO:root:2016-02-11 12:12:41.260099 | Now working with 20 14 0
INFO:root:2016-02-11 12:12:41.263814 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.312484 | Initialized bus with chip address 20 and data address 15
INFO:root:2016-02-11 12:12:41.314921 | Checking current bus state...
INFO:root:2016-02-11 12:12:41.317434 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.319432 | Setting state for value address 80 and state 0
INFO:root:2016-02-11 12:12:41.321900 | bus read byte data = 0
INFO:root:2016-02-11 12:12:41.324181 | Currently on bus = ['0', '0', '0', '0', '0', '0', '0', '0']
INFO:root:2016-02-11 12:12:41.326353 | Value address    = ['0', '1', '0', '1', '0', '0', '0', '0']
INFO:root:2016-02-11 12:12:41.334587 | New bus binary 00000000
INFO:root:2016-02-11 12:12:41.336609 | New bus int 0
INFO:root:2016-02-11 12:12:41.339118 | Now working with 20 15 0
